"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","=""13-2011""","1,392.2","1,488.2","96.0","6.9","135.0","73,560","Bachelor's degree","3","None","4","None","6"
"Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist","=""27-2011""","51.6","68.3","16.7","32.4","8.2","N/A","Some college, no degree","6","None","4","Long-term on-the-job training","3"
"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","=""15-2011""","27.7","34.5","6.8","24.5","2.4","111,030","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Acupuncturists and healthcare diagnosing or treating practitioners, all other","=""29-1298""","55.7","58.3","2.6","4.7","3.6","82,420","Master's degree","2","None","4","None","6"
"Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator","=""51-9191""","12.5","12.6","0.1","0.9","1.5","36,280","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee","=""23-1021""","15.5","15.6","0.1","0.8","0.7","97,520","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Administrative services and facilities managers","=""11-3010""","322.0","350.5","28.6","8.9","29.2","98,890","Bachelor's degree","3","Less than 5 years","2","None","6"
"Adult basic education, adult secondary education, and English as a Second Language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher","=""25-3011""","48.3","45.9","-2.4","-5.0","5.1","55,350","Bachelor's degree","3","None","4","None","6"
"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions","=""11-2011""","23.2","25.6","2.4","10.3","2.5","133,460","Bachelor's degree","3","Less than 5 years","2","None","6"
"Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson","=""41-3011""","115.1","118.7","3.6","3.1","14.8","54,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Aerospace engineering and operations technologists and technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician","=""17-3021""","11.9","12.9","1.1","8.9","1.2","68,570","Associate's degree","4","None","4","None","6"
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","61.4","66.5","5.1","8.3","4.0","118,610","Bachelor's degree","3","None","4","None","6"
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""","18.7","27.3","8.6","46.3","3.4","75,420","Bachelor's degree","3","Less than 5 years","2","None","6"
"Agricultural and food science technicians","=""19-4010""","26.6","28.7","2.1","7.9","3.7","41,970","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","1.5","1.5","0.1","4.5","0.1","84,410","Bachelor's degree","3","None","4","None","6"
"Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver","=""45-2091""","65.0","73.4","8.4","12.9","11.7","32,750","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","=""45-2011""","16.6","18.2","1.5","9.1","2.9","46,700","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
