,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
0,11-0000,Management Occupations,major,7782680,32.78,29.47,61310,2000
30,13-0000,Business and Financial Operations Occupations,major,4619270,23.3,21.1,43900,2000
72,17-0000,Architecture and Engineering Occupations,major,2575620,25.99,24.77,51530,2000
254,29-0000,Healthcare Practitioners and Technical Occupations,major,6041210,23.07,19.75,41080,2000
348,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4318070,9.41,8.36,17380,2000
357,39-0000,Personal Care and Service Occupations,major,2700510,9.86,8.04,16710,2000
389,41-0000,Sales and Related Occupations,major,13506880,13.46,9.33,19410,2000
410,43-0000,Office and Administrative Support Occupations,major,22936140,12.64,11.61,24140,2000
463,45-0000,"Farming, Fishing, and Forestry Occupations",major,460700,9.07,7.34,15260,2000
476,47-0000,Construction and Extraction Occupations,major,6187360,16.56,15.14,31490,2000
531,49-0000,"Installation, Maintenance, and Repair Occupations",major,5318490,16.23,15.36,31940,2000
686,53-0000,Transportation and Material Moving Occupations,major,9592740,12.32,10.55,21940,2000
1,11-0000,Management Occupations,major,7212360,34.04,30.88,64220,2001
31,13-0000,Business and Financial Operations Occupations,major,4676680,24.32,21.98,45720,2001
58,15-0000,Computer and Mathematical Occupations,major,2825870,29.02,27.72,57650,2001
73,17-0000,Architecture and Engineering Occupations,major,2489070,27.08,25.78,53630,2001
106,19-0000,"Life, Physical, and Social Science Occupations",major,1067730,23.9,21.53,44770,2001
142,21-0000,Community and Social Services Occupations,major,1523890,16.44,15.12,31440,2001
156,23-0000,Legal Occupations,major,909370,33.19,27.03,56220,2001
165,25-0000,"Education, Training, and Library Occupations",major,7658480,18.81,17.41,36210,2001
221,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1508790,19.12,16.19,33670,2001
255,29-0000,Healthcare Practitioners and Technical Occupations,major,6118970,24.01,20.56,42770,2001
299,31-0000,Healthcare Support Occupations,major,3122870,10.53,9.85,20490,2001
314,33-0000,Protective Service Occupations,major,2957990,15.64,13.66,28410,2001
333,35-0000,Food Preparation and Serving Related Occupations,major,9917660,8.04,7.13,14820,2001
349,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4275340,9.8,8.71,18120,2001
358,39-0000,Personal Care and Service Occupations,major,2802050,10.1,8.28,17230,2001
390,41-0000,Sales and Related Occupations,major,13418240,13.91,9.63,20040,2001
411,43-0000,Office and Administrative Support Occupations,major,22798590,13.09,12.04,25050,2001
464,45-0000,"Farming, Fishing, and Forestry Occupations",major,453050,9.44,7.76,16140,2001
477,47-0000,Construction and Extraction Occupations,major,6239430,17.05,15.57,32390,2001
532,49-0000,"Installation, Maintenance, and Repair Occupations",major,5323070,16.81,15.92,33110,2001
582,51-0000,Production Occupations,major,11270210,13.27,11.81,24570,2001
687,53-0000,Transportation and Material Moving Occupations,major,9410660,12.77,10.96,22800,2001
1,11-0000,Management Occupations,major,7092460,37.92,32.27,67120,2002
31,13-0000,Business and Financial Operations Occupations,major,4772120,25.65,22.77,47350,2002
58,15-0000,Computer and Mathematical Science Occupations,major,2772620,29.63,28.13,58500,2002
73,17-0000,Architecture and Engineering Occupations,major,2411260,27.89,26.39,54900,2002
106,19-0000,"Life, Physical, and Social Science Occupations",major,1078630,25.19,22.29,46370,2002
142,21-0000,Community and Social Services Occupations,major,1576980,16.65,15.24,31690,2002
156,23-0000,Legal Occupations,major,934850,37.18,27.89,58010,2002
165,25-0000,"Education, Training, and Library Occupations",major,7772470,19.31,17.76,36940,2002
221,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1503680,20.03,16.63,34580,2002
255,29-0000,Healthcare Practitioner and Technical Occupations,major,6185020,25.96,21.07,43820,2002
299,31-0000,Healthcare Support Occupations,major,3173400,10.77,10.11,21040,2002
314,33-0000,Protective Service Occupations,major,2993490,16.02,13.87,28850,2002
333,35-0000,Food Preparation and Serving Related Occupations,major,10067080,8.26,7.33,15240,2002
349,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4262880,10.02,8.93,18570,2002
358,39-0000,Personal Care and Service Occupations,major,2919280,10.27,8.43,17540,2002
390,41-0000,Sales and Related Occupations,major,13339570,14.72,9.99,20770,2002
