OCC_CODE,OCC_TITLE,TOT_EMP,YEAR,WAGE,PER_1K
11-0000,Management Occupations,7280330,2017,49.32,51.0724375
11-0000,Management Occupations,7090790,2016,48.46,50.50422027
11-0000,Management Occupations,6936990,2015,47.38,50.30570349
11-0000,Management Occupations,6183820,2011,44.65,48.20611364
11-0000,Management occupations,5960560,2005,37.32,45.76371466
11-0000,Management Occupations,7212360,2001,30.88,60.12682525
11-0000,Management Occupations,7782680,2000,29.47,64.30810991
11-0000,Management Occupations,6022860,2010,43.96,47.38784092
11-0000,Management occupations,5892900,2006,38.93,44.45856426
11-0000,Management Occupations,6741640,2014,46.75,49.89071854
11-0000,Management occupations,6116380,2009,42.95,46.81584041
11-0000,Management occupations,6152650,2008,42.15,45.5126811
11-0000,Management Occupations,7616650,2018,50.11,52.62617146
11-0000,Management Occupations,6542950,2013,45.96,49.34764524
11-0000,Management occupations,6003930,2007,40.6,44.6873032
11-0000,Management occupations,6200940,2004,35.77,48.39668149
11-0000,Management Occupations,6390430,2012,45.15,49.04857539
11-0000,Management occupations,6653480,2003,34.07,55.35713677
11-0000,Management Occupations,7092460,2002,32.27,59.29177343
11-0000,Management Occupations,8054120,2019,50.8,55.64880887
11-1011,Chief Executives,210160,2017,88.11,1.474299031
11-1011,Chief Executives,238940,2015,84.19,1.73274645
11-1011,Chief Executives,455930,2001,57.91,3.800922782
11-1011,Chief Executives,246240,2014,83.33,1.822270328
11-1011,Chief executives,389880,2003,64.78,3.243812333
11-1011,Chief Executives,452400,2002,60.7,3.781987956
11-1011,Chief Executives,223260,2016,87.12,1.590171506
11-1011,Chief Executives,267370,2011,80.25,2.084289097
11-1011,Chief executives,321300,2005,68.48,2.466862429
11-1011,Chief Executives,519890,2000,54.72,4.295839384
11-1011,Chief executives,299520,2006,,2.259707303
11-1011,Chief Executives,273500,2010,79.37,2.151897021
11-1011,Chief executives,297640,2009,77.27,2.278188526
11-1011,Chief Executives,195530,2018,91.15,1.350987023
11-1011,Chief Executives,255940,2012,80.84,1.964420608
11-1011,Chief executives,301930,2008,76.23,2.233451245
11-1011,Chief Executives,248760,2013,82.5,1.876175155
11-1011,Chief executives,346590,2004,67.47,2.705042435
11-1011,Chief executives,299160,2007,,2.226650482
11-1011,Chief Executives,205890,2019,88.68,1.422567985
11-1021,General and Operations Managers,2212200,2017,48.27,15.51886332
11-1021,General and Operations Managers,2064220,2001,31.25,17.20865226
11-1021,General and Operations Managers,1998350,2002,32.8,16.7058701
11-1021,General and Operations Managers,2221590,2000,29.41,18.35694823
11-1021,General and operations managers,1752910,2004,37.22,13.68099465
11-1021,General and operations managers,1655410,2007,42.64,12.32123103
11-1021,General and Operations Managers,2145140,2015,46.99,15.55613844
11-1021,General and Operations Managers,2049870,2014,46.77,15.16982325
11-1021,General and operations managers,1892060,2003,35,15.74199129
11-1021,General and Operations Managers,2188870,2016,47.74,15.59024772
11-1021,General and operations managers,1663810,2005,39.17,12.77432424
11-1021,General and Operations Managers,1805030,2011,45.74,14.07115364
11-1021,General and operations managers,1663280,2006,40.97,12.54849747
11-1021,General and operations managers,1689680,2009,44.55,12.93310573
11-1021,General and Operations Managers,1973700,2013,46.36,14.88586149
11-1021,General and Operations Managers,1708080,2010,45.38,13.43916733
11-1021,General and Operations Managers,2289770,2018,48.52,15.82084363
11-1021,General and operations managers,1697690,2008,44.02,12.55823484
11-1021,General and Operations Managers,1899460,2012,45.88,14.57895744
11-1021,General and Operations Managers,2400280,2019,48.45,16.58439693
11-1031,Legislators,51380,2017,,0.360437211
11-1031,Legislators,64650,2002,7.32,0.540463133
11-1031,Legislators,61110,2007,,0.454842261
11-1031,Legislators,53670,2016,,0.382265093
11-1031,Legislators,64650,2008,,0.478232117
11-1031,Legislators,56760,2012,,0.435650987
11-1031,Legislators,67400,2001,7.05,0.561889315
11-1031,Legislators,52750,2000,6.78,0.435872064
11-1031,Legislators,63440,2004,,0.495132266
11-1031,Legislators,55820,2015,,0.404795793
11-1031,Legislators,65280,2003,7.9,0.543131397
11-1031,Legislators,55020,2014,,0.407169077
11-1031,Legislators,61060,2005,0,0.468803672
11-1031,Legislators,62020,2006,,0.467905472
11-1031,Legislators,50330,2018,,0.347748053
11-1031,Legislators,62180,2011,,0.484725646
11-1031,Legislators,65750,2009,,0.50326198
11-1031,Legislators,65710,2010,,0.517006045
11-1031,Legislators,55800,2013,,0.420849709
11-1031,Legislators,52280,2019,,0.361221304
11-2011,Advertising and Promotions Managers,28100,2017,51.03,0.197125061
11-2011,Advertising and promotions managers,36300,2007,37.62,0.270181216
11-2011,Advertising and Promotions Managers,28420,2012,42.59,0.218132506
11-2011,Advertising and Promotions Managers,29340,2015,46.1,0.212767979
11-2011,Advertising and Promotions Managers,32240,2010,40.33,0.253664205
11-2011,Advertising and Promotions Managers,28530,2013,45.13,0.215176384
11-2011,Advertising and Promotions Managers,81090,2002,27.47,0.67789877
11-2011,Advertising and Promotions Managers,28860,2016,48.47,0.205555629
11-2011,Advertising and promotions managers,36100,2008,38.57,0.267040672
11-2011,Advertising and Promotions Managers,85850,2001,26.9,0.715700263
11-2011,Advertising and promotions managers,57100,2004,30.58,0.445650258
11-2011,Advertising and Promotions Managers,93420,2000,25.66,0.77192736
11-2011,Advertising and promotions managers,71100,2003,29.01,0.591553957
11-2011,Advertising and promotions managers,41710,2005,33.1,0.320239128
11-2011,Advertising and promotions managers,35760,2009,39.6,0.273713283
11-2011,Advertising and Promotions Managers,29340,2014,46.5,0.217127239
11-2011,Advertising and promotions managers,38130,2006,35.12,0.287669069
11-2011,Advertising and Promotions Managers,30710,2011,42.14,0.239400524
11-2011,Advertising and Promotions Managers,25260,2018,56.31,0.174530416
11-2011,Advertising and Promotions Managers,25100,2019,60.34,0.173424918
